name,years_active,imdb_credits,family,education,politics,wins
Sam Milby,20,60,0,0,0,0
Daniel Padilla,15,34,1,0,0,1
Nadine Lustre,24,47,0,1,0,5
Bea Alonzo,23,51,0,1,0,0
Alden Richards,14,55,0,1,0,0
Ruru Madrid,13,45,0,1,0,1
Jake Cuenca,27,86,0,1,0,0
Ara Mina,32,111,4,1,0,2
Angel Aquino,29,100,0,2,0,1
Romnick Sarmenta,48,111,0,2,0,1
Ryan Eigenmann,36,102,0,2,0,0
Maricel Soriano,54,151,1,2,0,8
Cesar Montano,43,98,0,2,0,9
Sharlene San Pedro,21,40,0,2,0,0
Marian Rivera,20,62,0,2,0,0
Sharon Cuneta,47,73,2,2,0,4
Karylle,25,40,0,2,0,0
Rocco Nacino,20,59,0,3,0,0
Vandolph Quizon,39,51,1,1,1,0
Toni Gonzaga,28,46,1,1,1,1
Anjo Yllana,39,76,2,2,1,0
Nash Aguas,18,49,0,2,1,0
Robin Padilla,42,78,4,2,1,3
Monsour del Rosario,39,77,1,2,1,0
Gary Estrada,33,85,1,2,1,0
Dingdong Avanzado,38,15,1,2,1,0
E. R. Ejercito,38,136,2,2,1,3
Jhong Hilario,29,49,1,3,1,0
Herbert Bautista,46,56,2,3,1,2
Jinggoy Estrada,27,27,2,3,1,2
